Date, Type, Description, Value, Account Name
25/11/2015,POS,"'9285 24NOV15 , TRAFIK , LONDON GB",-30.5,'Current
26/11/2015,POS,"'9285 25NOV15 , UDACITY, INC. , 8778877815 US , USD 200.00, VRATE 1.5051, FGN PUR FEE 3.65",-136.53,'Current
26/11/2015,D/D,'PNET2674351-1,-19.49,'Current
27/11/2015,POS,"'9285 26NOV15 , AMAZON DIGITAL , DWNLDS , 866-321-8851 LU",-2.99,'Current
27/11/2015,POS,"'9285 25NOV15 , WAHACA GREAT , PORTLAND , LONDON GB",-65.25,'Current
30/11/2015,BAC,"'ABAZA KHALED , KHALED-RBS , FP 29/11/15 2118 , FP15333O15032218",200,'Current
30/11/2015,DPC,"'CALL REF.NO. 0000 , DAD , FP 28/11/15 10 , 36160736986629000R",-400,'Current
30/11/2015,POS,"'9285 28NOV15 , TRAINLINE , 03332 022 222 LU",-60.5,'Current
30/11/2015,POS,"'9285 29NOV15 , GOOGLE *BIG DADDYS, C , GOOGLE.COM/CH GB",-0.53,'Current
30/11/2015,POS,"'9285 29NOV15 , PAN ASIA BBQ , NOTTINGHAM GB",-56.75,'Current
30/11/2015,POS,"'9285 27NOV15 C , PRET A MANGER , 1 FINSBURY SQ GB",-14.78,'Current
30/11/2015,D/D,'HALIFAX,-18.45,'Current
01/12/2015,BAC,"'CONTRACTOR UMBRE L, NO REF , FP 01/12/15 1438 , MF00114BF20F24A100",586.68,'Current
01/12/2015,POS,"'9285 30NOV15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-28.33,'Current
01/12/2015,POS,"'9285 30NOV15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-1.25,'Current
01/12/2015,POS,"'9285 30NOV15 C , TESCO STORE 2092 , BETHNAL GREEN GB",-11.82,'Current
01/12/2015,POS,"'9285 30NOV15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current
01/12/2015,D/D,'SOAS,-3,'Current
01/12/2015,D/D,'H3G,-21.41,'Current
02/12/2015,POS,"'9285 01DEC15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current
02/12/2015,POS,"'9285 01DEC15 C , PIZZA BUZZ , 2B WORSHIP ST GB",-16.4,'Current
02/12/2015,POS,"'9285 01DEC15 , WWW.JOHNLEWIS.COM , 03456 049 049 GB",-1079,'Current
03/12/2015,POS,"'9285 30NOV15 , UDEMY INC. , +14156025987 IE",-8,'Current
03/12/2015,POS,"'9285 30NOV15 , UDEMY INC. , +14156025987 IE",-8,'Current
