,Date,Type,Description,Value,Account Name,budget_date,Category,SubCategory,Expense Amount,Account,Payee,Notes
0,20/08/2015,D/D,'LBTH COUNCIL TAX,-98,'Current,,,,,,,
1,21/08/2015,POS,"'9285 18AUG15 , DELIVEROO.CO.UK , 02033223444 GB",-27,'Current,,,,,,,
2,21/08/2015,C/L,'NATWEST 20AUG,-20,'Current,,,,,,,
3,24/08/2015,POS,"'9285 21AUG15 , AMAZON DIGITAL , DWNLDS , 866-321-8851 LU",-1.99,'Current,,,,,,,
4,24/08/2015,POS,"'9285 23AUG15 , DELIVERANCE , LIMITED , LONDON GB",-17.2,'Current,,,,,,,
5,26/08/2015,POS,"'9285 25AUG15 , UDACITY, INC. , 8778877815 US , USD 200.00, VRATE 1.5724, FGN PUR FEE 3.50",-130.69,'Current,,,,,,,
6,26/08/2015,POS,"'9285 25AUG15 , MONSTER SUPPLEMENT, HULL GB",-63.32,'Current,,,,,,,
7,26/08/2015,D/D,'PNET2674351-1,-18.45,'Current,,,,,,,
8,27/08/2015,BAC,"'CONTRACTOR UMBRELL, CONTRACTOR UMBRELL, FP 27/08/15 0249 , 58023343774999000N, CONTRACTOR UMBRELL, A",626.39,'Current,,,,,,,
9,27/08/2015,POS,"'9285 26AUG15 , DELIVERANCE , LIMITED , LONDON GB",-23,'Current,,,,,,,
10,28/08/2015,POS,"'9285 27AUG15 C , ITSU LTD , LNDN EC2A 010 GB",-8.28,'Current,,,,,,,
11,28/08/2015,D/D,'HALIFAX,-8.18,'Current,,,,,,,
12,01/09/2015,POS,"'9285 28AUG15 C , BOOTS 1137 , GATWICK AIRPO GB",-7.75,'Current,,,,,,,
13,01/09/2015,POS,"'9285 28AUG15 C , BOOTS 2000 , GATWICK AIRPO GB",-3.38,'Current,,,,,,,
14,01/09/2015,POS,"'9285 28AUG15 C , LONDON AND SOUTH EAS, LONDON SE1 GB",-9.4,'Current,,,,,,,
15,01/09/2015,POS,"'9285 28AUG15 C , PRET A MANGER , GATWICK SOUTH GB",-8.27,'Current,,,,,,,
16,01/09/2015,POS,"'9285 28AUG15 C , BOOTS 2000 , GATWICK AIRPO GB",-2.49,'Current,,,,,,,
17,01/09/2015,D/D,'SOAS,-3,'Current,,,,,,,
18,01/09/2015,D/D,"'H3G , INITIAL PAYMENT",-23.19,'Current,,,,,,,
19,02/09/2015,BAC,"'CONTRACTOR UMBRELL, CONTRACTOR UMBRELL, FP 02/09/15 0244 , 02023317696217000N, CONTRACTOR UMBRELL, A",587.79,'Current,,,,,,,
20,02/09/2015,POS,"'9285 01SEP15 C , CO-OP GROUP PETROL, BOW ROAD GB",-13.07,'Current,,,,,,,
21,02/09/2015,POS,"'9285 01SEP15 , MAYOR , 02089 812676 GB",-8.2,'Current,,,,,,,
22,03/09/2015,POS,"'9285 02SEP15 C , ITSU LTD , LNDN EC2A 010 GB",-3.99,'Current,,,,,,,
23,04/09/2015,CHG,'19AUG A/C 10651269,-13.78,'Current,,,,,,,
24,04/09/2015,POS,"'9285 03SEP15 , GOOGLE , *SVCSAPPS_MOTIO , 303-245-0086 IE",-8,'Current,,,,,,,
25,04/09/2015,POS,"'9285 03SEP15 , CO-OP GROUP PETROL, BOW ROAD GB",-25.48,'Current,,,,,,,
26,04/09/2015,POS,"'9285 03SEP15 C , WASABI FINSBURY , PAVEME , LONDON GB",-5.45,'Current,,,,,,,
27,07/09/2015,POS,"'9285 05SEP15 , 447935858985 , FEE GB",-70,'Current,,,,,,,
28,07/09/2015,POS,"'9285 04SEP15 , THE RIVERFRONT , LONDON GB",-12.9,'Current,,,,,,,
29,07/09/2015,POS,"'9285 06SEP15 C , CO-OP GROUP PETROL, BOW ROAD GB",-3.59,'Current,,,,,,,
30,07/09/2015,POS,"'9285 04SEP15 C , THE RIVERFRONT , LONDON GB",-6.15,'Current,,,,,,,
31,07/09/2015,POS,"'9285 06SEP15 , GOOGLE *COMMERCE , LTD , GOOGLE.COM/CH GB",-9.99,'Current,,,,,,,
32,07/09/2015,POS,"'9285 06SEP15 , TFL CYCLE HIRE , SHOREDITCH HI GB",-2,'Current,,,,,,,
33,07/09/2015,POS,"'9285 06SEP15 C , CO-OP GROUP PETROL, BOW ROAD GB",-7.99,'Current,,,,,,,
34,07/09/2015,POS,"'9285 06SEP15 , DELIVERANCE , LIMITED , LONDON GB",-23,'Current,,,,,,,
35,07/09/2015,POS,"'9285 05SEP15 , JUNO , LONDON GB",-13,'Current,,,,,,,
36,07/09/2015,POS,"'9285 05SEP15 , JUNO , LONDON GB",-13.5,'Current,,,,,,,
37,07/09/2015,POS,"'9285 05SEP15 , JUNO , LONDON GB",-16.9,'Current,,,,,,,
38,07/09/2015,POS,"'9285 05SEP15 , JUNO , LONDON GB",-8.5,'Current,,,,,,,
39,07/09/2015,POS,"'9285 06SEP15 , JUNO , LONDON GB",-9,'Current,,,,,,,
40,07/09/2015,POS,"'9285 06SEP15 , JUNO , LONDON GB",-28,'Current,,,,,,,
41,08/09/2015,DPC,"'CALL REF.NO. 2067 , SPICERHAART , FP 08/09/15 10 , 63165819002347000R",-1300,'Current,,,,,,,
42,08/09/2015,POS,"'9285 07SEP15 , MAPLIN LIVERPL ST , EC2M , LONDON GB",-39.98,'Current,,,,,,,
43,08/09/2015,POS,"'9285 07SEP15 C , WASABI FINSBURY , PAVEME , LONDON GB",-5.45,'Current,,,,,,,
44,08/09/2015,D/D,'UNICEF UK,-4,'Current,,,,,,,
45,09/09/2015,BAC,"'CONTRACTOR UMBRELL, CONTRACTOR UMBRELL, FP 09/09/15 0241 , 57023233237084000N, CONTRACTOR UMBRELL, A",587.99,'Current,,,,,,,
46,09/09/2015,POS,"'9285 08SEP15 , LLOYDS PHARMACY , WHITECHAPEL GB",-16.4,'Current,,,,,,,
47,09/09/2015,POS,"'9285 09SEP15 , MUBI , LONDON GB",-4.99,'Current,,,,,,,
48,09/09/2015,POS,"'9285 08SEP15 C , SUBWAY , 6 CITY ROAD GB",-5.99,'Current,,,,,,,
49,10/09/2015,POS,"'9285 09SEP15 , CO-OP GROUP PETROL, BOW ROAD GB",-22,'Current,,,,,,,
50,10/09/2015,POS,"'9285 09SEP15 C , PIZZA BUZZ , 2B WORSHIP ST GB",-11.4,'Current,,,,,,,
51,14/09/2015,POS,"'9285 11SEP15 , GIVEWELL , 6462332035 US , USD 5.00, VRATE 1.5432, FGN PUR FEE 1.00",-4.24,'Current,,,,,,,
52,14/09/2015,POS,"'9285 11SEP15 , BB *RAINFOREST , TRUST , 8004564930 US , USD 5.00, VRATE 1.5432, FGN PUR FEE 1.00",-4.24,'Current,,,,,,,
